,Year,Local Authority Districts,Total Dwelling Stock
0,2021,City of London,7000
1,2021,Barking and Dagenham,78000
2,2021,Barnet,157000
3,2021,Bexley,99000
4,2021,Brent,125000
5,2021,Bromley,140000
6,2021,Camden,107000
7,2021,Croydon,165000
8,2021,Ealing,139000
9,2021,Enfield,127000
10,2021,Greenwich,118000
11,2021,Hackney,113000
12,2021,Hammersmith and Fulham,92000
13,2021,Haringey,112000
14,2021,Harrow,94000
15,2021,Havering,103000
16,2021,Hillingdon,113000
17,2021,Hounslow,105000
18,2021,Islington,105000
19,2021,Kensington and Chelsea,89000
20,2021,Kingston upon Thames,69000
21,2021,Lambeth,144000
22,2021,Lewisham,130000
23,2021,Merton,86000
24,2021,Newham,122000
25,2021,Redbridge,108000
26,2021,Richmond upon Thames,87000
27,2021,Southwark,139000
28,2021,Sutton,84000
29,2021,Tower Hamlets,129000
30,2021,Waltham Forest,106000
31,2021,Wandsworth,151000
32,2021,Westminster,127000
