,region_code,region_name,LA_code,LA_name,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Region
0,E12000007,London,E09000001,City of London,4,5,5,5,6,6,6,6,6,6,7,7,7,8,8,8,10,12,15,14,15,14,14,14,12,11,City of London
1,E12000007,London,E09000002,Barking and Dagenham,3,2,2,3,3,4,5,5,6,6,5,6,5,5,6,5,5,6,7,8,10,10,10,9,10,11,Outer London
2,E12000007,London,E09000003,Barnet,5,6,6,6,8,8,9,9,9,10,10,10,9,10,10,10,11,12,14,14,15,17,16,16,16,17,Outer London
3,E12000007,London,E09000004,Bexley,3,4,4,4,5,6,7,8,7,7,7,7,6,7,7,7,7,8,9,11,10,11,11,11,13,11,Outer London
4,E12000007,London,E09000005,Brent,4,4,5,5,7,8,8,9,9,9,10,10,9,10,11,11,12,12,13,14,15,16,15,14,15,13,Outer London
5,E12000007,London,E09000006,Bromley,5,5,6,7,9,10,10,10,9,9,9,9,9,9,9,9,10,11,11,13,14,14,13,12,14,13,Outer London
6,E12000007,London,E09000007,Camden,6,6,7,8,9,9,9,9,10,10,12,12,11,12,13,13,15,17,18,19,20,19,19,19,18,18,Inner London
7,E12000007,London,E09000008,Croydon,3,4,4,4,5,6,7,7,7,7,8,8,7,7,7,7,7,8,9,10,11,11,10,11,11,10,Outer London
8,E12000007,London,E09000009,Ealing,4,5,5,6,6,7,8,8,8,9,9,9,8,9,9,9,10,12,14,15,16,15,15,14,16,15,Outer London
9,E12000007,London,E09000010,Enfield,4,4,4,4,5,5,7,6,8,8,8,9,8,8,9,9,9,10,12,12,13,13,14,13,14,12,Outer London
10,E12000007,London,E09000011,Greenwich,3,3,3,4,5,6,7,6,7,7,7,7,7,7,8,8,8,10,10,12,12,12,13,13,13,13,Inner London
11,E12000007,London,E09000012,Hackney,3,3,4,5,6,7,7,7,7,7,8,8,8,8,8,9,11,12,14,16,15,15,16,17,15,13,Inner London
12,E12000007,London,E09000013,Hammersmith and Fulham,5,7,7,8,9,8,9,10,10,11,11,12,11,13,12,13,15,18,21,20,20,19,19,18,19,19,Inner London
13,E12000007,London,E09000014,Haringey,4,4,5,6,7,7,8,8,9,8,9,9,8,9,10,10,11,12,14,15,16,17,16,15,16,18,Outer London
14,E12000007,London,E09000015,Harrow,4,5,5,6,6,8,9,9,9,9,10,10,9,10,10,11,12,13,14,14,16,15,13,15,15,16,Outer London
15,E12000007,London,E09000016,Havering,4,4,5,5,6,8,9,10,8,7,8,7,7,7,7,7,7,8,9,11,12,11,11,11,12,12,Outer London
16,E12000007,London,E09000017,Hillingdon,3,3,4,4,5,6,7,7,7,7,7,7,7,7,7,7,7,8,10,11,12,13,11,11,13,13,Outer London
17,E12000007,London,E09000018,Hounslow,3,4,5,5,6,6,7,7,7,8,8,8,7,7,7,8,8,9,10,10,11,11,11,11,11,12,Outer London
18,E12000007,London,E09000019,Islington,5,6,6,7,7,7,8,8,8,8,9,9,9,10,11,11,11,13,15,15,15,14,14,15,15,14,Inner London
19,E12000007,London,E09000020,Kensington and Chelsea,11,11,13,14,14,14,15,16,17,18,22,22,22,24,24,28,30,38,37,38,41,43,39,35,37,38,Inner London
20,E12000007,London,E09000021,Kingston upon Thames,4,5,6,7,7,8,9,9,9,9,10,11,9,10,10,10,11,12,13,14,15,15,15,13,14,15,Outer London
21,E12000007,London,E09000022,Lambeth,3,4,4,6,7,7,7,8,7,8,8,9,7,8,8,9,9,11,12,14,14,14,14,14,15,14,Inner London
22,E12000007,London,E09000023,Lewisham,3,3,3,4,5,5,7,6,6,7,7,7,6,7,8,8,8,10,11,12,12,13,13,12,14,12,Inner London
23,E12000007,London,E09000024,Merton,4,5,6,7,7,7,8,9,8,9,9,9,8,10,10,10,10,13,13,16,15,15,14,14,15,16,Outer London
24,E12000007,London,E09000025,Newham,2,3,3,4,4,6,7,7,7,7,8,8,6,6,7,7,7,8,10,11,12,13,12,12,11,10,Outer London
25,E12000007,London,E09000026,Redbridge,4,4,4,5,6,7,8,9,8,8,8,8,7,8,8,9,8,9,11,13,14,15,14,13,15,14,Outer London
26,E12000007,London,E09000027,Richmond upon Thames,7,7,7,9,9,10,10,10,11,11,11,12,11,12,13,13,14,16,17,18,19,18,17,18,19,20,Outer London
27,E12000007,London,E09000028,Southwark,3,4,5,5,6,6,6,7,8,7,8,9,8,8,8,9,9,11,12,13,14,13,13,12,13,12,Inner London
28,E12000007,London,E09000029,Sutton,3,4,4,5,5,6,7,7,7,8,9,9,8,8,8,9,8,10,11,12,12,13,11,11,13,12,Outer London
29,E12000007,London,E09000030,Tower Hamlets,3,4,5,5,5,6,6,5,6,6,6,7,6,6,6,6,6,7,8,10,9,9,10,10,11,10,Inner London
30,E12000007,London,E09000031,Waltham Forest,3,3,4,4,5,6,7,7,9,8,9,9,7,8,8,8,8,11,12,14,15,14,14,13,15,16,Outer London
31,E12000007,London,E09000032,Wandsworth,5,6,6,7,9,9,9,9,10,10,11,11,10,11,12,12,14,16,17,18,19,17,17,19,19,18,Inner London
32,E12000007,London,E09000033,Westminster,6,7,8,9,10,10,11,10,11,12,12,13,13,14,16,16,19,22,22,24,24,24,21,21,19,22,Inner London
