,Year,Day,Month,Rates
0,1694,14,Oct,6.0
1,1695,14,Jan,4.5
2,1699,14,May,3.0
3,1699,14,June,4.5
4,1716,14,July,4.0
5,1719,14,Apr,5.0
6,1822,14,June,4.0
7,1825,14,Dec,5.0
8,1827,14,July,4.0
9,1836,14,July,4.5
10,1838,14,Sep,5.0
11,1838,14,Feb,4.0
12,1839,14,May,5.0
13,1840,14,Jun,5.5
14,1840,14,Aug,6.0
15,1840,14,Jan,5.0
16,1842,14,Apr,4.0
17,1844,7,Sep,2.5
18,1845,16,Oct,3.0
19,1846,6,Nov,3.5
20,1846,27,Aug,3.0
21,1847,14,Jan,3.5
22,1848,21,Jan,4.0
23,1848,8,Apr,5.0
24,1848,5,Aug,5.5
25,1848,30,Sept,6.0
26,1848,25,Oct,8.0
27,1848,22,Nov,7.0
28,1848,2,Dec,6.0
29,1848,23,Dec,5.0
30,1848,27,Jan,4.0
31,1849,15,June,3.5
32,1849,2,Nov,3.0
33,1849,22,Nov,2.5
34,1850,26,Dec,3.0
35,1852,1,Jan,2.5
36,1853,22,Apr,2.0
37,1853,6,Jan,2.5
38,1854,20,Jan,3.0
39,1854,2,June,3.5
40,1854,1,Sep,4.0
41,1854,15,Sep,4.5
42,1854,29,Sep,5.0
43,1854,11,May,5.5
44,1855,3,Aug,5.0
45,1855,5,Apr,4.5
46,1856,3,May,4.0
47,1856,14,June,3.5
48,1856,6,Sep,4.0
49,1856,13,Sep,4.5
50,1856,27,Sep,5.0
51,1856,4,Oct,5.5
52,1856,18,Oct,7.0
53,1856,22,May,6.0
54,1857,29,May,5.0
55,1857,26,June,4.5
56,1857,2,Oct,5.0
57,1857,29,Oct,7.0
58,1857,15,Nov,7.0
59,1857,4,Dec,6.5
60,1857,18,Dec,6.0
61,1857,2,Apr,6.5
62,1858,18,June,6.0
63,1858,16,July,5.5
64,1858,8,Oct,6.0
65,1858,15,Oct,7.0
66,1858,19,Oct,8.0
67,1858,5,Nov,9.0
68,1858,12,Nov,10.0
69,1858,24,Dec,8.0
70,1858,7,Jan,6.0
71,1859,11,Jan,5.0
72,1859,28,Jan,4.0
73,1859,4,Feb,3.5
74,1859,11,Feb,3.0
75,1859,9,Dec,2.5
76,1859,28,Apr,3.5
77,1860,5,May,4.5
78,1860,2,June,3.5
79,1860,9,June,3.0
80,1860,14,July,2.5
81,1860,19,Jan,3.0
82,1861,31,Jan,4.0
83,1861,29,Mar,4.5
84,1861,12,Apr,5.0
85,1861,10,May,4.5
86,1861,24,May,4.0
87,1861,8,Nov,4.5
88,1861,13,Nov,5.0
89,1861,15,Nov,6.0
90,1861,29,Nov,5.0
91,1861,31,Dec,6.0
92,1861,7,Jan,7.0
93,1862,14,Feb,8.0
94,1862,21,Mar,7.0
95,1862,4,Apr,6.0
96,1862,11,Apr,5.0
97,1862,16,May,6.0
98,1862,1,Aug,5.0
99,1862,15,Aug,4.5
100,1862,29,Aug,4.0
101,1862,19,Sep,3.5
102,1862,7,Nov,3.0
103,1862,9,Jan,2.5
104,1863,22,May,3.0
105,1863,10,July,2.5
106,1863,24,July,2.0
107,1863,30,Oct,3.0
108,1863,15,Jan,4.0
109,1864,28,Jan,5.0
110,1864,19,Feb,4.0
111,1864,23,Apr,3.5
112,1864,30,Apr,3.0
113,1864,16,May,3.5
114,1864,21,May,4.0
115,1864,2,Nov,5.0
116,1864,5,Nov,6.0
117,1864,2,Dec,7.0
118,1864,3,Dec,8.0
119,1864,24,Dec,7.0
120,1864,20,Jan,8.0
121,1865,11,Feb,7.0
122,1865,25,Feb,6.0
123,1865,16,Apr,7.0
124,1865,2,May,8.0
125,1865,5,May,9.0
126,1865,19,May,8.0
127,1865,26,May,7.0
128,1865,16,June,6.0
129,1865,25,July,7.0
130,1865,4,Aug,8.0
131,1865,8,Sep,9.0
132,1865,10,Nov,8.0
133,1865,24,Nov,7.0
134,1865,15,Dec,6.0
135,1865,12,Jan,5.5
136,1866,26,Jan,5.0
137,1866,2,Mar,4.5
138,1866,30,Mar,4.0
139,1866,4,May,4.5
140,1866,25,May,4.0
141,1866,1,June,3.5
142,1866,15,June,3.0
143,1866,27,July,3.5
144,1866,3,Aug,4.0
145,1866,28,Sep,4.5
146,1866,2,Oct,5.0
147,1866,5,Oct,6.0
148,1866,7,Oct,7.0
149,1866,23,Nov,6.0
150,1866,28,Dec,7.0
151,1866,4,Jan,8.0
152,1867,22,Feb,7.0
153,1867,15,Mar,6.0
154,1867,3,May,7.0
155,1867,8,May,8.0
156,1867,11,May,9.0
157,1867,12,May,10.0
158,1867,16,Aug,8.0
159,1867,23,Aug,7.0
160,1867,30,Aug,6.0
161,1867,6,Sep,5.0
162,1867,27,Sep,4.5
163,1867,8,Nov,4.0
164,1867,20,Dec,3.5
165,1867,7,Feb,3.0
166,1868,30,May,2.5
167,1868,25,Jul,2.0
168,1868,19,Nov,2.5
169,1869,3,Dec,3.0
170,1869,1,Apr,4.0
171,1870,6,May,4.5
172,1870,10,Jun,4.0
173,1870,24,Jun,3.5
174,1870,15,Jul,3.0
175,1870,19,Aug,2.5
176,1870,4,Nov,3.0
177,1870,21,Jul,3.5
178,1871,23,Jul,4.0
179,1871,28,Jul,5.0
180,1871,4,Aug,6.0
181,1871,11,Aug,5.5
182,1871,18,Aug,4.5
183,1871,25,Aug,4.0
184,1871,1,Sep,3.5
185,1871,15,Sep,3.0
186,1871,29,Sep,2.5
187,1871,2,Mar,3.0
188,1872,13,Apr,2.5
189,1872,15,Jun,2.25
190,1872,13,Jul,2.0
191,1872,21,Sep,3.0
192,1872,28,Sep,4.0
193,1872,7,Oct,5.0
194,1872,16,Nov,4.0
195,1872,30,Nov,3.5
196,1872,14,Dec,3.0
197,1872,4,Apr,3.5
198,1873,11,Apr,4.0
199,1873,9,May,5.0
200,1873,30,May,4.0
201,1873,13,Jun,3.5
202,1873,20,Jun,3.0
203,1873,18,Jul,3.5
204,1873,18,Sep,4.0
205,1873,26,Sep,4.5
206,1873,3,Oct,5.0
207,1873,10,Oct,6.0
208,1873,9,Nov,7.0
209,1873,28,Nov,6.0
210,1873,12,Dec,5.0
211,1873,9,Jan,4.5
212,1874,23,Jan,4.0
213,1874,30,Jan,3.5
214,1874,26,Mar,4.0
215,1874,7,May,4.5
216,1874,10,May,5.0
217,1874,17,May,6.0
218,1874,4,Jun,7.0
219,1874,12,Jun,6.0
220,1874,10,July,5.0
221,1874,17,July,4.5
222,1874,24,July,4.0
223,1874,31,July,3.5
224,1874,21,Aug,3.0
225,1874,25,Sep,4.0
226,1874,29,Sep,5.0
227,1874,14,Oct,6.0
228,1874,18,Oct,7.0
229,1874,1,Nov,8.0
230,1874,7,Nov,9.0
231,1874,20,Nov,8.0
232,1874,27,Nov,6.0
233,1874,4,Dec,5.0
234,1874,11,Dec,4.5
235,1874,8,Jan,4.0
236,1875,15,Jan,3.5
237,1875,30,Apr,4.0
238,1875,28,May,3.5
239,1875,4,Jun,3.0
240,1875,18,Jun,2.5
241,1875,30,July,3.0
242,1875,6,Aug,4.0
243,1875,20,Aug,3.5
