Name,URI,Region GSS code,Period,Sales volume,Reporting period,Average price All property types,Percentage change (yearly) All property types,Percentage change (monthly) All property types,House price index All property types,Sales volume All property types,Average price Detached houses,Percentage change (yearly) Detached houses,Percentage change (monthly) Detached houses,House price index Detached houses,Average price Semi-detached houses,Percentage change (yearly) Semi-detached houses,Percentage change (monthly) Semi-detached houses,House price index Semi-detached houses,Average price Terraced houses,Percentage change (yearly) Terraced houses,Percentage change (monthly) Terraced houses,House price index Terraced houses,Average price Flats and maisonettes,Percentage change (yearly) Flats and maisonettes,Percentage change (monthly) Flats and maisonettes,House price index Flats and maisonettes,Average price First-time buyers,Percentage change (yearly) First-time buyers,Percentage change (monthly) First-time buyers,House price index First-time buyers,Average price Former owner-occupiers,Percentage change (yearly) Former owner-occupiers,Percentage change (monthly) Former owner-occupiers,House price index Former owner-occupiers,Average price Cash purchases,Percentage change (yearly) Cash purchases,Percentage change (monthly) Cash purchases,House price index Cash purchases,Sales volume Cash purchases,Average price Mortgage purchases,Percentage change (yearly) Mortgage purchases,Percentage change (monthly) Mortgage purchases,House price index Mortgage purchases,Sales volume Mortgage purchases,Average price New build,Percentage change (yearly) New build,Percentage change (monthly) New build,House price index New build,Sales volume New build,Average price Existing properties,Percentage change (yearly) Existing properties,Percentage change (monthly) Existing properties,House price index Existing properties,Sales volume Existing properties,Pivotable date
Inner London,http://landregistry.data.gov.uk/id/region/inner-london,E13000001,2006-01,4459,monthly,264926,4.49,1.26,51.68,4459,568727,3.62,1.53,47.96,390752,4.05,1.4,49.47,301182,5.76,1.42,50.32,249676,4.04,1.19,52.48,,,,,,,,,,,,,,,,,,,274453,5.12,1.09,56.19,474,263116,4.42,1.28,51.06,3985,2006-01-01
Inner London,http://landregistry.data.gov.uk/id/region/inner-london,E13000001,2006-02,4352,monthly,265721,4.9,0.3,51.84,4352,570078,3.78,0.24,48.07,391639,3.98,0.23,49.58,301056,5.31,-0.04,50.3,250760,4.81,0.43,52.71,,,,,,,,,,,,,,,,,,,275926,5.46,0.54,56.49,591,263866,4.85,0.29,51.2,3761,2006-02-01
Inner London,http://landregistry.data.gov.uk/id/region/inner-london,E13000001,2006-03,5587,monthly,267544,5.04,0.69,52.2,5587,580597,4.79,1.85,48.96,397542,4.73,1.51,50.33,304425,5.84,1.12,50.86,251891,4.75,0.45,52.94,,,,,,,,,,,,,,,,,,,276404,4.62,0.17,56.59,708,265848,5.11,0.75,51.59,4879,2006-03-01
Inner London,http://landregistry.data.gov.uk/id/region/inner-london,E13000001,2006-04,5014,monthly,270595,5.17,1.14,52.79,5014,585001,5.16,0.76,49.33,400608,4.47,0.77,50.72,307313,5.72,0.95,51.34,255014,4.99,1.24,53.6,,,,,,,,,,,,,,,,,,,281395,4.71,1.81,57.61,477,268694,5.25,1.07,52.14,4537,2006-04-01
Inner London,http://landregistry.data.gov.uk/id/region/inner-london,E13000001,2006-05,5366,monthly,275878,6.94,1.95,53.82,5366,599743,7.91,2.52,50.57,409598,6.73,2.24,51.85,313965,7.92,2.16,52.45,259725,6.55,1.85,54.59,,,,,,,,,,,,,,,,,,,285642,6.13,1.51,58.48,524,274065,7.06,2.0,53.18,4842,2006-05-01
Inner London,http://landregistry.data.gov.uk/id/region/inner-london,E13000001,2006-06,6414,monthly,280741,8.12,1.76,54.77,6414,608913,8.99,1.53,51.34,416519,7.78,1.69,52.73,319755,8.8,1.84,53.42,264241,7.86,1.74,55.54,,,,,,,,,,,,,,,,,,,289456,7.28,1.34,59.26,613,279020,8.23,1.81,54.15,5801,2006-06-01
Inner London,http://landregistry.data.gov.uk/id/region/inner-london,E13000001,2006-07,6596,monthly,284717,9.19,1.42,55.55,6596,621718,9.96,2.1,52.42,425605,9.13,2.18,53.88,325766,9.97,1.88,54.42,267380,8.87,1.19,56.2,,,,,,,,,,,,,,,,,,,290243,8.61,0.27,59.43,644,283309,9.25,1.54,54.98,5952,2006-07-01
Inner London,http://landregistry.data.gov.uk/id/region/inner-london,E13000001,2006-08,6549,monthly,288587,9.64,1.36,56.3,6549,629379,9.8,1.23,53.07,431531,9.62,1.39,54.63,331076,10.57,1.63,55.31,270737,9.28,1.26,56.9,,,,,,,,,,,,,,,,,,,291544,8.18,0.45,59.69,455,287429,9.79,1.45,55.78,6094,2006-08-01
Inner London,http://landregistry.data.gov.uk/id/region/inner-london,E13000001,2006-09,6312,monthly,290734,10.32,0.74,56.72,6312,637053,10.22,1.22,53.72,435972,10.28,1.03,55.19,333788,11.22,0.82,55.76,272610,9.97,0.69,57.3,,,,,,,,,,,,,,,,,,,293990,9.27,0.84,60.19,429,289539,10.42,0.73,56.19,5883,2006-09-01
Inner London,http://landregistry.data.gov.uk/id/region/inner-london,E13000001,2006-10,5810,monthly,293114,12.28,0.82,57.18,5810,640676,12.41,0.57,54.02,437204,12.04,0.28,55.35,335403,12.88,0.48,56.03,275286,12.06,0.98,57.86,,,,,,,,,,,,,,,,,,,297264,11.06,1.11,60.86,445,291820,12.42,0.79,56.63,5365,2006-10-01
Inner London,http://landregistry.data.gov.uk/id/region/inner-london,E13000001,2006-11,5890,monthly,293277,12.95,0.06,57.22,5890,641486,13.83,0.13,54.09,437676,13.09,0.11,55.41,335439,13.23,0.01,56.04,275475,12.83,0.07,57.9,,,,,,,,,,,,,,,,,,,297412,11.15,0.05,60.89,473,291984,13.16,0.06,56.66,5417,2006-11-01
Inner London,http://landregistry.data.gov.uk/id/region/inner-london,E13000001,2006-12,5868,monthly,296269,13.24,1.02,57.8,5868,650262,16.09,1.37,54.83,442364,14.79,1.07,56.0,338110,13.86,0.8,56.49,278499,12.87,1.1,58.54,,,,,,,,,,,,,,,,,,,300050,10.52,0.89,61.43,630,295004,13.56,1.03,57.25,5238,2006-12-01
