Name,URI,Region GSS code,Period,Sales volume,Reporting period,Average price All property types,Percentage change (yearly) All property types,Percentage change (monthly) All property types,House price index All property types,Sales volume All property types,Average price Detached houses,Percentage change (yearly) Detached houses,Percentage change (monthly) Detached houses,House price index Detached houses,Average price Semi-detached houses,Percentage change (yearly) Semi-detached houses,Percentage change (monthly) Semi-detached houses,House price index Semi-detached houses,Average price Terraced houses,Percentage change (yearly) Terraced houses,Percentage change (monthly) Terraced houses,House price index Terraced houses,Average price Flats and maisonettes,Percentage change (yearly) Flats and maisonettes,Percentage change (monthly) Flats and maisonettes,House price index Flats and maisonettes,Average price First-time buyers,Percentage change (yearly) First-time buyers,Percentage change (monthly) First-time buyers,House price index First-time buyers,Average price Former owner-occupiers,Percentage change (yearly) Former owner-occupiers,Percentage change (monthly) Former owner-occupiers,House price index Former owner-occupiers,Average price Cash purchases,Percentage change (yearly) Cash purchases,Percentage change (monthly) Cash purchases,House price index Cash purchases,Sales volume Cash purchases,Average price Mortgage purchases,Percentage change (yearly) Mortgage purchases,Percentage change (monthly) Mortgage purchases,House price index Mortgage purchases,Sales volume Mortgage purchases,Average price New build,Percentage change (yearly) New build,Percentage change (monthly) New build,House price index New build,Sales volume New build,Average price Existing properties,Percentage change (yearly) Existing properties,Percentage change (monthly) Existing properties,House price index Existing properties,Sales volume Existing properties,Pivotable date
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2006-01,88382,monthly,159970,6.2,-0.15,83.9,88382,244844,3.66,1.03,85.09,154122,5.63,0.14,86.21,129002,7.73,-0.55,83.51,135909,7.0,-0.7,78.96,,,,,,,,,,,,,,,,,,,196646,6.33,-1.73,86.18,8730,157201,6.14,0.02,83.59,79652,2006-01-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2006-02,90058,monthly,160231,6.47,0.16,84.04,90058,243243,3.72,-0.65,84.54,154159,5.17,0.02,86.23,129318,8.28,0.25,83.72,137211,8.0,0.96,79.72,,,,,,,,,,,,,,,,,,,200231,7.25,1.82,87.75,10353,157153,6.36,-0.03,83.57,79705,2006-02-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2006-03,118864,monthly,161531,6.46,0.81,84.72,118864,245956,4.65,1.12,85.48,155563,5.59,0.91,87.01,130386,7.81,0.83,84.41,137740,7.3,0.39,80.03,,,,,,,,,,,,,,,,,,,199655,6.07,-0.29,87.5,14842,158632,6.48,0.94,84.36,104022,2006-03-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2006-04,110370,monthly,165042,7.25,2.17,86.56,110370,249485,5.57,1.44,86.71,159151,6.37,2.31,89.02,133945,8.98,2.73,86.71,140314,7.48,1.87,81.52,,,,,,,,,,,,,,,,,,,203939,6.1,2.15,89.38,12173,162086,7.38,2.18,86.19,98197,2006-04-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2006-05,121888,monthly,166606,7.12,0.95,87.38,121888,252502,4.95,1.21,87.76,160241,6.42,0.68,89.63,134568,8.34,0.47,87.12,142780,8.31,1.76,82.95,,,,,,,,,,,,,,,,,,,205404,6.59,0.72,90.02,13709,163666,7.16,0.97,87.03,108179,2006-05-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2006-06,146253,monthly,168184,7.28,0.95,88.21,146253,252748,5.71,0.1,87.84,161638,6.58,0.87,90.41,136637,8.33,1.54,88.46,144114,8.26,0.93,83.73,,,,,,,,,,,,,,,,,,,205572,6.34,0.08,90.09,21097,165385,7.36,1.05,87.95,125156,2006-06-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2006-07,134426,monthly,170604,7.44,1.44,89.48,134426,258352,5.82,2.22,89.79,163934,6.25,1.42,91.7,139157,9.23,1.84,90.09,144386,7.95,0.19,83.89,,,,,,,,,,,,,,,,,,,206903,5.99,0.65,90.68,12275,167921,7.58,1.53,89.3,122151,2006-07-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2006-08,141486,monthly,172037,7.91,0.84,90.23,141486,261682,6.1,1.29,90.95,165273,7.4,0.82,92.44,139870,9.26,0.51,90.55,145759,8.35,0.95,84.68,,,,,,,,,,,,,,,,,,,206491,4.96,-0.2,90.5,12291,169537,8.23,0.96,90.15,129195,2006-08-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2006-09,137213,monthly,172738,8.52,0.41,90.6,137213,262324,7.09,0.25,91.17,165909,7.98,0.38,92.8,140269,9.15,0.28,90.81,146869,9.75,0.76,85.33,,,,,,,,,,,,,,,,,,,209474,6.93,1.44,91.8,13685,170022,8.67,0.29,90.41,123528,2006-09-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2006-10,133356,monthly,173750,9.37,0.59,91.13,133356,263693,7.81,0.52,91.65,166832,8.53,0.56,93.32,141278,10.39,0.72,91.46,147609,10.55,0.5,85.76,,,,,,,,,,,,,,,,,,,210800,6.86,0.63,92.38,12608,171010,9.65,0.58,90.94,120748,2006-10-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2006-11,135279,monthly,174644,9.61,0.51,91.6,135279,265290,8.31,0.61,92.2,168046,9.07,0.73,94.0,142103,10.66,0.58,92.0,147708,10.12,0.07,85.82,,,,,,,,,,,,,,,,,,,209797,5.74,-0.48,91.94,13520,172091,10.05,0.63,91.51,121759,2006-11-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2006-12,142000,monthly,176819,10.37,1.25,92.74,142000,264999,9.35,-0.11,92.1,169329,10.02,0.76,94.71,144505,11.4,1.69,93.55,151264,10.52,2.41,87.88,,,,,,,,,,,,,,,,,,,214434,7.16,2.21,93.98,20413,174039,10.74,1.13,92.55,121587,2006-12-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2007-01,101538,monthly,176758,10.49,-0.03,92.71,101538,268186,9.53,1.2,93.21,169496,9.98,0.1,94.81,144185,11.77,-0.22,93.34,150639,10.84,-0.41,87.52,,,,,,,,,,,,,,,,,,,213476,8.56,-0.45,93.56,8313,174069,10.73,0.02,92.56,93224,2007-01-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2007-02,99013,monthly,177261,10.63,0.28,92.97,99013,267642,10.03,-0.2,93.02,169788,10.14,0.17,94.97,144010,11.36,-0.12,93.23,152704,11.29,1.37,88.72,,,,,,,,,,,,,,,,,,,214060,6.91,0.27,93.81,8524,174567,11.08,0.29,92.83,90488,2007-02-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2007-03,123076,monthly,178636,10.59,0.78,93.69,123076,269178,9.44,0.57,93.55,170921,9.87,0.67,95.6,146113,12.06,1.46,94.59,152908,11.01,0.13,88.84,,,,,,,,,,,,,,,,,,,213228,6.8,-0.39,93.45,12960,176105,11.01,0.88,93.65,110115,2007-03-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2007-04,112054,monthly,182243,10.42,2.02,95.58,112054,273582,9.66,1.64,95.08,174013,9.34,1.81,97.33,149342,11.5,2.21,96.68,156410,11.47,2.29,90.87,,,,,,,,,,,,,,,,,,,217591,6.69,2.05,95.36,10156,179654,10.84,2.02,95.53,101898,2007-04-01
