,Year,Local Authority Districts,Private Enterprise,Housing Associations,Local Authority
0,2010,Barking and Dagenham,260,90,0
1,2010,Barnet,290,210,0
2,2010,Bexley,70,350,0
3,2010,Brent,400,190,0
4,2010,Bromley,420,110,0
5,2010,Camden,140,70,0
6,2010,City of London,30,0,0
7,2010,Croydon,410,180,0
8,2010,Ealing,240,200,0
9,2010,Enfield,130,320,0
10,2010,Greenwich,490,740,0
11,2010,Hackney,290,170,30
12,2010,Hammersmith and Fulham,20,0,0
13,2010,Haringey,50,70,0
14,2010,Harrow,160,120,0
15,2010,Havering,180,10,0
16,2010,Hillingdon,230,80,30
17,2010,Hounslow,570,610,0
18,2010,Islington,290,240,0
19,2010,Kensington and Chelsea,10,0,0
20,2010,Kingston upon Thames,160,30,0
21,2010,Lambeth,180,490,90
22,2010,Lewisham,440,510,0
23,2010,Merton,200,110,0
24,2010,Newham,250,60,0
25,2010,Redbridge,490,60,0
26,2010,Richmond upon Thames,130,0,0
27,2010,Southwark,460,200,0
28,2010,Sutton,40,30,0
29,2010,Tower Hamlets,1410,440,60
30,2010,Waltham Forest,120,190,0
31,2010,Wandsworth,230,10,0
32,2010,Westminster,120,280,0
33,2011,Barking and Dagenham,220,150,0
34,2011,Barnet,1160,940,0
35,2011,Bexley,80,10,0
36,2011,Brent,400,280,0
37,2011,Bromley,610,210,0
38,2011,Camden,50,0,0
39,2011,City of London,0,0,0
40,2011,Croydon,190,220,10
41,2011,Ealing,220,320,80
42,2011,Enfield,350,260,0
43,2011,Greenwich,470,180,0
44,2011,Hackney,380,310,40
45,2011,Hammersmith and Fulham,110,30,0
46,2011,Haringey,170,160,0
47,2011,Harrow,80,20,0
48,2011,Havering,120,240,0
49,2011,Hillingdon,330,260,50
50,2011,Hounslow,250,480,20
51,2011,Islington,160,70,0
52,2011,Kensington and Chelsea,50,20,0
53,2011,Kingston upon Thames,170,10,0
54,2011,Lambeth,560,210,0
55,2011,Lewisham,370,390,0
56,2011,Merton,220,200,0
57,2011,Newham,300,160,0
58,2011,Redbridge,60,50,0
59,2011,Richmond upon Thames,150,0,0
60,2011,Southwark,640,130,0
61,2011,Sutton,80,160,0
62,2011,Tower Hamlets,1410,930,80
63,2011,Waltham Forest,110,220,0
64,2011,Wandsworth,860,60,0
65,2011,Westminster,280,20,70
66,2012,Barking and Dagenham,290,190,0
67,2012,Barnet,1160,570,0
68,2012,Bexley,460,350,0
69,2012,Brent,150,480,150
70,2012,Bromley,640,140,0
71,2012,Camden,100,260,0
72,2012,City of London,10,0,0
73,2012,Croydon,340,210,0
74,2012,Ealing,520,230,240
75,2012,Enfield,70,520,0
76,2012,Greenwich,760,60,0
77,2012,Hackney,610,350,0
78,2012,Hammersmith and Fulham,20,0,0
79,2012,Haringey,410,180,0
80,2012,Harrow,240,80,0
81,2012,Havering,220,270,0
82,2012,Hillingdon,520,260,10
83,2012,Hounslow,300,270,0
84,2012,Islington,200,320,0
85,2012,Kensington and Chelsea,170,0,0
86,2012,Kingston upon Thames,130,30,0
87,2012,Lambeth,140,280,0
88,2012,Lewisham,550,880,0
89,2012,Merton,300,410,0
90,2012,Newham,250,150,0
91,2012,Redbridge,510,0,0
92,2012,Richmond upon Thames,360,50,0
93,2012,Southwark,400,250,0
94,2012,Sutton,140,210,0
95,2012,Tower Hamlets,1140,800,140
96,2012,Waltham Forest,110,370,10
97,2012,Wandsworth,1060,190,0
98,2012,Westminster,80,190,0
