,Year,Local Authority Districts,Private Enterprise,Housing Associations,Local Authority
0,2008,Barking and Dagenham,240,310,0
1,2008,Barnet,660,430,0
2,2008,Bexley,140,80,0
3,2008,Brent,270,560,0
4,2008,Bromley,460,80,0
5,2008,Camden,230,60,0
6,2008,City of London,0,0,0
7,2008,Croydon,250,220,0
8,2008,Ealing,390,370,0
9,2008,Enfield,290,290,0
10,2008,Greenwich,250,370,0
11,2008,Hackney,250,650,0
12,2008,Hammersmith and Fulham,150,10,0
13,2008,Haringey,150,380,0
14,2008,Harrow,310,120,0
15,2008,Havering,280,250,0
16,2008,Hillingdon,410,190,10
17,2008,Hounslow,690,990,0
18,2008,Islington,570,180,0
19,2008,Kensington and Chelsea,10,10,0
20,2008,Kingston upon Thames,170,0,0
21,2008,Lambeth,290,230,0
22,2008,Lewisham,430,210,0
23,2008,Merton,110,420,0
24,2008,Newham,1550,450,0
25,2008,Redbridge,440,80,0
26,2008,Richmond upon Thames,290,70,0
27,2008,Southwark,810,200,0
28,2008,Sutton,270,70,0
29,2008,Tower Hamlets,2000,360,0
30,2008,Waltham Forest,150,180,0
31,2008,Wandsworth,650,70,0
32,2008,Westminster,50,110,0
33,2009,Barking and Dagenham,110,140,0
34,2009,Barnet,500,180,0
35,2009,Bexley,120,80,0
36,2009,Brent,410,210,0
37,2009,Bromley,430,80,0
38,2009,Camden,320,220,0
39,2009,City of London,0,0,0
40,2009,Croydon,800,640,0
41,2009,Ealing,190,260,0
42,2009,Enfield,120,50,0
43,2009,Greenwich,750,70,0
44,2009,Hackney,690,560,0
45,2009,Hammersmith and Fulham,540,0,0
46,2009,Haringey,230,120,0
47,2009,Harrow,320,100,0
48,2009,Havering,240,300,0
49,2009,Hillingdon,320,150,0
50,2009,Hounslow,890,610,0
51,2009,Islington,650,320,0
52,2009,Kensington and Chelsea,180,40,0
53,2009,Kingston upon Thames,120,0,0
54,2009,Lambeth,410,430,10
55,2009,Lewisham,310,120,0
56,2009,Merton,180,190,0
57,2009,Newham,550,280,0
58,2009,Redbridge,500,210,0
59,2009,Richmond upon Thames,180,80,0
60,2009,Southwark,820,120,0
61,2009,Sutton,260,180,0
62,2009,Tower Hamlets,2460,610,0
63,2009,Waltham Forest,270,270,0
64,2009,Wandsworth,280,20,0
65,2009,Westminster,240,580,0
