,Year,Local Authority Districts,Private Enterprise,Housing Associations,Local Authority
0,2020,Barking and Dagenham,370,300,120
1,2020,Barnet,830,140,0
2,2020,Bexley,230,80,0
3,2020,Brent,210,0,0
4,2020,Bromley,190,20,0
5,2020,Camden,100,30,10
6,2020,City of London,0,0,0
7,2020,Croydon,1280,60,0
8,2020,Ealing,550,230,0
9,2020,Enfield,260,210,0
10,2020,Greenwich,980,70,30
11,2020,Hackney,340,70,0
12,2020,Hammersmith and Fulham,470,10,0
13,2020,Haringey,60,10,0
14,2020,Harrow,360,10,0
15,2020,Havering,140,290,20
16,2020,Hillingdon,640,0,0
17,2020,Hounslow,510,50,120
18,2020,Islington,360,130,0
19,2020,Kensington and Chelsea,40,0,0
20,2020,Kingston upon Thames,80,0,0
21,2020,Lambeth,630,130,0
22,2020,Lewisham,660,100,0
23,2020,Merton,90,140,0
24,2020,Newham,1060,170,0
25,2020,Redbridge,430,210,60
26,2020,Richmond upon Thames,50,0,0
27,2020,Southwark,1400,20,0
28,2020,Sutton,270,30,0
29,2020,Tower Hamlets,1790,160,0
30,2020,Waltham Forest,620,150,20
31,2020,Wandsworth,390,180,20
32,2020,Westminster,70,160,80
33,2021,Barking and Dagenham,330,280,0
34,2021,Barnet,620,110,0
35,2021,Bexley,360,20,0
36,2021,Brent,210,140,0
37,2021,Bromley,190,70,0
38,2021,Camden,120,0,10
39,2021,City of London,0,0,0
40,2021,Croydon,1170,50,0
41,2021,Ealing,470,400,0
42,2021,Enfield,300,200,0
43,2021,Greenwich,830,70,0
44,2021,Hackney,420,350,0
45,2021,Hammersmith and Fulham,710,70,10
46,2021,Haringey,980,0,40
47,2021,Harrow,130,240,0
48,2021,Havering,330,220,0
49,2021,Hillingdon,380,350,0
50,2021,Hounslow,370,150,10
51,2021,Islington,100,10,0
52,2021,Kensington and Chelsea,100,0,0
53,2021,Kingston upon Thames,100,0,0
54,2021,Lambeth,110,0,0
55,2021,Lewisham,40,80,0
56,2021,Merton,200,0,0
57,2021,Newham,1150,230,0
58,2021,Redbridge,150,30,110
59,2021,Richmond upon Thames,30,0,0
60,2021,Southwark,1870,180,0
61,2021,Sutton,140,30,0
62,2021,Tower Hamlets,3080,370,20
63,2021,Waltham Forest,730,100,0
64,2021,Wandsworth,980,40,10
65,2021,Westminster,40,20,80
66,2022,Barking and Dagenham,390,200,20
67,2022,Barnet,640,160,0
68,2022,Bexley,240,50,0
69,2022,Brent,240,80,0
70,2022,Bromley,400,100,0
71,2022,Camden,70,0,0
72,2022,City of London,0,0,0
73,2022,Croydon,1530,70,0
74,2022,Ealing,1440,670,0
75,2022,Enfield,170,0,50
76,2022,Greenwich,920,50,0
77,2022,Hackney,130,30,10
78,2022,Hammersmith and Fulham,430,30,0
79,2022,Haringey,310,0,10
80,2022,Harrow,230,100,0
81,2022,Havering,350,370,0
82,2022,Hillingdon,410,70,0
83,2022,Hounslow,1230,210,0
84,2022,Islington,70,40,70
85,2022,Kensington and Chelsea,80,50,0
86,2022,Kingston upon Thames,100,0,0
87,2022,Lambeth,100,0,0
88,2022,Lewisham,120,60,0
89,2022,Merton,730,0,0
90,2022,Newham,1540,100,50
91,2022,Redbridge,50,140,0
92,2022,Richmond upon Thames,400,0,20
93,2022,Southwark,280,120,0
94,2022,Sutton,370,30,50
95,2022,Tower Hamlets,1080,0,20
96,2022,Waltham Forest,440,100,190
97,2022,Wandsworth,810,170,0
98,2022,Westminster,400,210,370
