,Year,Local Authority Districts,Private Enterprise,Housing Associations,Local Authority
0,2006,Barking and Dagenham,190,270,0
1,2006,Barnet,310,90,0
2,2006,Bexley,130,30,0
3,2006,Brent,160,780,0
4,2006,Bromley,440,110,0
5,2006,Camden,150,360,0
6,2006,City of London,0,0,0
7,2006,Croydon,520,280,0
8,2006,Ealing,450,760,0
9,2006,Enfield,370,470,0
10,2006,Greenwich,850,280,0
11,2006,Hackney,890,150,0
12,2006,Hammersmith and Fulham,110,100,0
13,2006,Haringey,260,80,0
14,2006,Harrow,200,70,0
15,2006,Havering,420,70,0
16,2006,Hillingdon,190,20,0
17,2006,Hounslow,440,710,0
18,2006,Islington,430,100,0
19,2006,Kensington and Chelsea,100,30,0
20,2006,Kingston upon Thames,120,0,0
21,2006,Lambeth,670,480,0
22,2006,Lewisham,450,170,0
23,2006,Merton,330,170,0
24,2006,Newham,880,150,0
25,2006,Redbridge,430,90,0
26,2006,Richmond upon Thames,240,70,0
27,2006,Southwark,980,120,0
28,2006,Sutton,260,140,0
29,2006,Tower Hamlets,1950,580,0
30,2006,Waltham Forest,160,210,0
31,2006,Wandsworth,440,90,0
32,2006,Westminster,520,50,0
33,2007,Barking and Dagenham,620,150,0
34,2007,Barnet,310,210,0
35,2007,Bexley,110,160,0
36,2007,Brent,280,740,0
37,2007,Bromley,470,70,0
38,2007,Camden,240,250,0
39,2007,City of London,0,0,0
40,2007,Croydon,590,570,0
41,2007,Ealing,540,380,0
42,2007,Enfield,660,440,0
43,2007,Greenwich,600,260,0
44,2007,Hackney,570,580,0
45,2007,Hammersmith and Fulham,100,80,0
46,2007,Haringey,750,220,0
47,2007,Harrow,220,110,0
48,2007,Havering,540,220,0
49,2007,Hillingdon,290,120,30
50,2007,Hounslow,860,1040,0
51,2007,Islington,420,250,0
52,2007,Kensington and Chelsea,50,0,0
53,2007,Kingston upon Thames,180,30,0
54,2007,Lambeth,190,190,0
55,2007,Lewisham,630,450,0
56,2007,Merton,460,160,0
57,2007,Newham,720,230,0
58,2007,Redbridge,650,80,0
59,2007,Richmond upon Thames,300,20,0
60,2007,Southwark,900,220,0
61,2007,Sutton,320,30,0
62,2007,Tower Hamlets,1370,300,0
63,2007,Waltham Forest,410,110,0
64,2007,Wandsworth,550,250,0
65,2007,Westminster,350,70,0
