Name,URI,Region GSS code,Period,Sales volume,Reporting period,Average price All property types,Percentage change (yearly) All property types,Percentage change (monthly) All property types,House price index All property types,Sales volume All property types,Average price Detached houses,Percentage change (yearly) Detached houses,Percentage change (monthly) Detached houses,House price index Detached houses,Average price Semi-detached houses,Percentage change (yearly) Semi-detached houses,Percentage change (monthly) Semi-detached houses,House price index Semi-detached houses,Average price Terraced houses,Percentage change (yearly) Terraced houses,Percentage change (monthly) Terraced houses,House price index Terraced houses,Average price Flats and maisonettes,Percentage change (yearly) Flats and maisonettes,Percentage change (monthly) Flats and maisonettes,House price index Flats and maisonettes,Average price First-time buyers,Percentage change (yearly) First-time buyers,Percentage change (monthly) First-time buyers,House price index First-time buyers,Average price Former owner-occupiers,Percentage change (yearly) Former owner-occupiers,Percentage change (monthly) Former owner-occupiers,House price index Former owner-occupiers,Average price Cash purchases,Percentage change (yearly) Cash purchases,Percentage change (monthly) Cash purchases,House price index Cash purchases,Sales volume Cash purchases,Average price Mortgage purchases,Percentage change (yearly) Mortgage purchases,Percentage change (monthly) Mortgage purchases,House price index Mortgage purchases,Sales volume Mortgage purchases,Average price New build,Percentage change (yearly) New build,Percentage change (monthly) New build,House price index New build,Sales volume New build,Average price Existing properties,Percentage change (yearly) Existing properties,Percentage change (monthly) Existing properties,House price index Existing properties,Sales volume Existing properties,Pivotable date
City of London,http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,2006-01,19,monthly,316121,-4.31,-6.92,40.34,19,,,,,,,,,,,,,315461,-4.32,-6.92,40.39,,,,,,,,,,,,,,,,,,,345805,-2.41,-6.93,42.25,0,315654,-4.5,-6.92,40.82,19,2006-01-01
City of London,http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,2006-02,17,monthly,323653,12.04,2.38,41.3,17,,,,,,,,,,,,,322963,12.03,2.38,41.35,,,,,,,,,,,,,,,,,,,354413,13.95,2.49,43.3,0,323172,11.84,2.38,41.79,17,2006-02-01
City of London,http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,2006-03,28,monthly,325106,6.64,0.45,41.49,28,,,,,,,,,,,,,324395,6.63,0.44,41.54,,,,,,,,,,,,,,,,,,,357182,8.37,0.78,43.64,1,324565,6.54,0.43,41.97,27,2006-03-01
City of London,http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,2006-04,24,monthly,319580,0.69,-1.7,40.78,24,,,,,,,,,,,,,318874,0.68,-1.7,40.83,,,,,,,,,,,,,,,,,,,352690,1.83,-1.26,43.09,1,318966,0.63,-1.73,41.25,23,2006-04-01
City of London,http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,2006-05,22,monthly,313126,0.54,-2.02,39.96,22,,,,,,,,,,,,,312426,0.53,-2.02,40.0,,,,,,,,,,,,,,,,,,,344761,1.51,-2.25,42.12,0,312566,0.49,-2.01,40.42,22,2006-05-01
City of London,http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,2006-06,29,monthly,304977,7.82,-2.6,38.92,29,,,,,,,,,,,,,304305,7.8,-2.6,38.96,,,,,,,,,,,,,,,,,,,333949,8.21,-3.14,40.8,4,304527,7.8,-2.57,39.38,25,2006-06-01
City of London,http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,2006-07,25,monthly,338307,19.27,10.93,43.17,25,,,,,,,,,,,,,337519,19.24,10.91,43.22,,,,,,,,,,,,,,,,,,,366734,19.55,9.82,44.81,2,338002,19.25,10.99,43.71,23,2006-07-01
City of London,http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,2006-08,30,monthly,358438,17.39,5.95,45.74,30,,,,,,,,,,,,,357615,17.36,5.95,45.79,,,,,,,,,,,,,,,,,,,384897,16.65,4.95,47.03,1,358306,17.42,6.01,46.34,29,2006-08-01
City of London,http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,2006-09,24,monthly,377545,21.43,5.33,48.18,24,,,,,,,,,,,,,376667,21.4,5.33,48.23,,,,,,,,,,,,,,,,,,,404355,20.26,5.06,49.41,0,377462,21.49,5.35,48.82,24,2006-09-01
City of London,http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,2006-10,33,monthly,365177,7.77,-3.28,46.6,33,,,,,,,,,,,,,364372,7.76,-3.26,46.66,,,,,,,,,,,,,,,,,,,391207,6.38,-3.25,47.8,1,365091,7.85,-3.28,47.22,32,2006-10-01
City of London,http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,2006-11,21,monthly,354438,8.31,-2.94,45.23,21,,,,,,,,,,,,,353653,8.29,-2.94,45.28,,,,,,,,,,,,,,,,,,,379667,6.25,-2.95,46.39,3,354357,8.43,-2.94,45.83,18,2006-11-01
City of London,http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,2006-12,22,monthly,365755,7.69,3.19,46.67,22,,,,,,,,,,,,,364936,7.68,3.19,46.73,,,,,,,,,,,,,,,,,,,391123,5.26,3.02,47.79,0,365707,7.84,3.2,47.29,22,2006-12-01
City of London,http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,2007-01,20,monthly,360923,14.17,-1.32,46.06,20,,,,,,,,,,,,,360095,14.15,-1.33,46.11,,,,,,,,,,,,,,,,,,,386190,11.68,-1.26,47.19,0,360864,14.32,-1.32,46.67,20,2007-01-01
City of London,http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,2007-02,25,monthly,399437,23.42,10.67,50.97,25,,,,,,,,,,,,,398529,23.4,10.67,51.03,,,,,,,,,,,,,,,,,,,428185,20.82,10.87,52.32,1,399331,23.57,10.66,51.64,24,2007-02-01
City of London,http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,2007-03,28,monthly,403144,24.0,0.93,51.44,28,,,,,,,,,,,,,402236,24.0,0.93,51.5,,,,,,,,,,,,,,,,,,,431256,20.74,0.72,52.69,6,403089,24.19,0.94,52.13,22,2007-03-01
City of London,http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,2007-04,22,monthly,419005,31.11,3.93,53.47,22,,,,,,,,,,,,,418048,31.1,3.93,53.53,,,,,,,,,,,,,,,,,,,445263,26.25,3.25,54.4,1,419112,31.4,3.97,54.2,21,2007-04-01
City of London,http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,2007-05,22,monthly,411183,31.32,-1.87,52.47,22,,,,,,,,,,,,,410231,31.31,-1.87,52.53,,,,,,,,,,,,,,,,,,,438231,27.11,-1.58,53.55,1,411218,31.56,-1.88,53.18,21,2007-05-01
