Name,URI,Region GSS code,Period,Sales volume,Reporting period,Average price All property types,Percentage change (yearly) All property types,Percentage change (monthly) All property types,House price index All property types,Sales volume All property types,Average price Detached houses,Percentage change (yearly) Detached houses,Percentage change (monthly) Detached houses,House price index Detached houses,Average price Semi-detached houses,Percentage change (yearly) Semi-detached houses,Percentage change (monthly) Semi-detached houses,House price index Semi-detached houses,Average price Terraced houses,Percentage change (yearly) Terraced houses,Percentage change (monthly) Terraced houses,House price index Terraced houses,Average price Flats and maisonettes,Percentage change (yearly) Flats and maisonettes,Percentage change (monthly) Flats and maisonettes,House price index Flats and maisonettes,Average price First-time buyers,Percentage change (yearly) First-time buyers,Percentage change (monthly) First-time buyers,House price index First-time buyers,Average price Former owner-occupiers,Percentage change (yearly) Former owner-occupiers,Percentage change (monthly) Former owner-occupiers,House price index Former owner-occupiers,Average price Cash purchases,Percentage change (yearly) Cash purchases,Percentage change (monthly) Cash purchases,House price index Cash purchases,Sales volume Cash purchases,Average price Mortgage purchases,Percentage change (yearly) Mortgage purchases,Percentage change (monthly) Mortgage purchases,House price index Mortgage purchases,Sales volume Mortgage purchases,Average price New build,Percentage change (yearly) New build,Percentage change (monthly) New build,House price index New build,Sales volume New build,Average price Existing properties,Percentage change (yearly) Existing properties,Percentage change (monthly) Existing properties,House price index Existing properties,Sales volume Existing properties,Pivotable date
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2006-01,10862,monthly,239846,3.19,0.62,59.54,10862,454025,1.3,3.44,61.07,291590,2.52,2.18,61.79,240015,4.09,1.22,58.69,214584,2.98,-0.46,59.3,,,,,,,,,,,,,,,,,,,248374,3.46,-1.17,60.9,853,238832,3.17,0.78,59.35,10009,2006-01-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2006-02,10885,monthly,239115,3.37,-0.3,59.36,10885,448642,1.34,-1.19,60.34,289915,2.25,-0.57,61.44,238395,3.99,-0.68,58.29,214773,3.48,0.09,59.36,,,,,,,,,,,,,,,,,,,252650,5.09,1.72,61.95,968,237738,3.25,-0.46,59.08,9917,2006-02-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2006-03,13982,monthly,241380,4.37,0.95,59.92,13982,454096,3.18,1.22,61.08,292056,3.46,0.74,61.89,241348,5.04,1.24,59.02,216507,4.34,0.81,59.84,,,,,,,,,,,,,,,,,,,251641,4.17,-0.4,61.7,1255,240237,4.41,1.05,59.7,12727,2006-03-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2006-04,11953,monthly,245474,4.29,1.7,60.93,11953,455431,2.77,0.29,61.26,296200,3.23,1.42,62.77,245745,4.89,1.82,60.09,220453,4.38,1.82,60.93,,,,,,,,,,,,,,,,,,,257854,3.9,2.47,63.22,861,244171,4.36,1.64,60.68,11092,2006-04-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2006-05,13349,monthly,247591,5.05,0.86,61.46,13349,460366,2.77,1.08,61.92,297797,3.28,0.54,63.11,247011,5.59,0.52,60.4,223018,5.46,1.16,61.63,,,,,,,,,,,,,,,,,,,259579,6.31,0.67,63.65,979,246312,4.96,0.88,61.21,12370,2006-05-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2006-06,16075,monthly,251417,6.58,1.55,62.41,16075,465913,5.17,1.2,62.67,301279,4.79,1.17,63.84,251705,6.69,1.9,61.55,226295,7.2,1.47,62.54,,,,,,,,,,,,,,,,,,,260255,6.52,0.26,63.81,1278,250363,6.58,1.64,62.21,14797,2006-06-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2006-07,16182,monthly,253883,6.73,0.98,63.02,16182,473171,5.34,1.56,63.64,306203,5.24,1.63,64.89,255910,7.85,1.67,62.58,226972,6.61,0.3,62.73,,,,,,,,,,,,,,,,,,,259956,6.33,-0.11,63.74,1143,253028,6.75,1.06,62.88,15039,2006-07-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2006-08,16833,monthly,256704,7.87,1.11,63.72,16833,478540,6.38,1.13,64.37,308896,7.03,0.88,65.46,257927,8.73,0.79,63.07,230115,7.72,1.39,63.6,,,,,,,,,,,,,,,,,,,261150,6.02,0.46,64.03,961,255966,8.01,1.16,63.61,15872,2006-08-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2006-09,15674,monthly,257541,8.71,0.33,63.93,15674,483177,6.98,0.97,64.99,310130,6.83,0.4,65.72,257836,8.63,-0.04,63.05,231214,9.49,0.48,63.9,,,,,,,,,,,,,,,,,,,265399,8.87,1.63,65.07,885,256549,8.68,0.23,63.75,14789,2006-09-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2006-10,15193,monthly,259115,10.59,0.61,64.32,15193,483203,9.09,0.01,64.99,311206,8.74,0.35,65.95,259231,10.7,0.54,63.39,233036,11.23,0.79,64.4,,,,,,,,,,,,,,,,,,,266530,9.81,0.43,65.35,931,258152,10.65,0.62,64.15,14262,2006-10-01
