Name,URI,Region GSS code,Period,Sales volume,Reporting period,Average price All property types,Percentage change (yearly) All property types,Percentage change (monthly) All property types,House price index All property types,Sales volume All property types,Average price Detached houses,Percentage change (yearly) Detached houses,Percentage change (monthly) Detached houses,House price index Detached houses,Average price Semi-detached houses,Percentage change (yearly) Semi-detached houses,Percentage change (monthly) Semi-detached houses,House price index Semi-detached houses,Average price Terraced houses,Percentage change (yearly) Terraced houses,Percentage change (monthly) Terraced houses,House price index Terraced houses,Average price Flats and maisonettes,Percentage change (yearly) Flats and maisonettes,Percentage change (monthly) Flats and maisonettes,House price index Flats and maisonettes,Average price First-time buyers,Percentage change (yearly) First-time buyers,Percentage change (monthly) First-time buyers,House price index First-time buyers,Average price Former owner-occupiers,Percentage change (yearly) Former owner-occupiers,Percentage change (monthly) Former owner-occupiers,House price index Former owner-occupiers,Average price Cash purchases,Percentage change (yearly) Cash purchases,Percentage change (monthly) Cash purchases,House price index Cash purchases,Sales volume Cash purchases,Average price Mortgage purchases,Percentage change (yearly) Mortgage purchases,Percentage change (monthly) Mortgage purchases,House price index Mortgage purchases,Sales volume Mortgage purchases,Average price New build,Percentage change (yearly) New build,Percentage change (monthly) New build,House price index New build,Sales volume New build,Average price Existing properties,Percentage change (yearly) Existing properties,Percentage change (monthly) Existing properties,House price index Existing properties,Sales volume Existing properties,Pivotable date
Outer London,http://landregistry.data.gov.uk/id/region/outer-london,E13000002,2006-01,6403,monthly,225564,1.27,0.48,64.69,6403,440253,-0.31,0.78,61.24,282156,0.89,0.54,62.69,218338,2.35,0.53,62.43,184897,0.76,0.35,69.07,,,,,,,,,,,,,,,,,,,234880,4.52,0.44,68.32,379,224100,1.04,0.48,64.19,6024,2006-01-01
Outer London,http://landregistry.data.gov.uk/id/region/outer-london,E13000002,2006-02,6533,monthly,226449,2.42,0.39,64.95,6533,441328,0.47,0.24,61.39,282685,1.7,0.19,62.81,219217,3.5,0.4,62.68,185886,2.18,0.53,69.43,,,,,,,,,,,,,,,,,,,236842,4.86,0.84,68.89,377,224929,2.25,0.37,64.43,6156,2006-02-01
Outer London,http://landregistry.data.gov.uk/id/region/outer-london,E13000002,2006-03,8395,monthly,227024,2.77,0.25,65.11,8395,446054,1.71,1.07,62.05,284626,2.51,0.69,63.24,219954,3.66,0.34,62.89,185509,2.29,-0.2,69.29,,,,,,,,,,,,,,,,,,,236599,3.87,-0.1,68.82,547,225566,2.71,0.28,64.61,7848,2006-03-01
Outer London,http://landregistry.data.gov.uk/id/region/outer-london,E13000002,2006-04,6939,monthly,228292,3.3,0.56,65.47,6939,446271,2.21,0.05,62.08,286047,2.81,0.5,63.56,221546,4.12,0.72,63.35,186491,3.02,0.53,69.66,,,,,,,,,,,,,,,,,,,238234,4.01,0.69,69.3,384,226809,3.26,0.55,64.97,6555,2006-04-01
Outer London,http://landregistry.data.gov.uk/id/region/outer-london,E13000002,2006-05,7983,monthly,229832,3.11,0.67,65.92,7983,449499,2.51,0.72,62.53,288163,2.93,0.74,64.03,223136,3.86,0.72,63.8,187586,2.66,0.59,70.07,,,,,,,,,,,,,,,,,,,238878,3.38,0.27,69.48,455,228393,3.1,0.7,65.42,7528,2006-05-01
Outer London,http://landregistry.data.gov.uk/id/region/outer-london,E13000002,2006-06,9661,monthly,232407,3.58,1.12,66.65,9661,453124,3.13,0.81,63.03,290944,3.3,0.97,64.65,225825,4.26,1.21,64.57,189816,3.21,1.19,70.9,,,,,,,,,,,,,,,,,,,241010,3.79,0.89,70.1,665,230983,3.57,1.13,66.16,8996,2006-06-01
Outer London,http://landregistry.data.gov.uk/id/region/outer-london,E13000002,2006-07,9586,monthly,234615,4.24,0.95,67.29,9586,458627,3.97,1.21,63.8,293834,3.9,0.99,65.29,228354,5.17,1.12,65.3,191193,3.66,0.73,71.42,,,,,,,,,,,,,,,,,,,241657,4.14,0.27,70.29,499,233272,4.24,0.99,66.82,9087,2006-07-01
Outer London,http://landregistry.data.gov.uk/id/region/outer-london,E13000002,2006-08,10284,monthly,237235,5.48,1.12,68.04,10284,464609,5.28,1.3,64.63,297378,5.23,1.21,66.08,231455,6.84,1.36,66.18,192742,4.79,0.81,72.0,,,,,,,,,,,,,,,,,,,241515,4.34,-0.06,70.25,506,236041,5.89,1.19,67.61,9778,2006-08-01
Outer London,http://landregistry.data.gov.uk/id/region/outer-london,E13000002,2006-09,9362,monthly,239230,6.2,0.84,68.61,9362,470266,5.9,1.22,65.42,300229,5.92,0.96,66.71,233288,7.47,0.79,66.71,194191,5.63,0.75,72.54,,,,,,,,,,,,,,,,,,,242645,4.81,0.47,70.58,456,238078,6.63,0.86,68.2,8906,2006-09-01
Outer London,http://landregistry.data.gov.uk/id/region/outer-london,E13000002,2006-10,9383,monthly,240654,7.06,0.6,69.02,9383,473606,7.07,0.71,65.88,301943,7.01,0.57,67.09,234233,8.09,0.4,66.98,195677,6.54,0.77,73.09,,,,,,,,,,,,,,,,,,,243963,5.35,0.54,70.96,486,239503,7.52,0.6,68.6,8897,2006-10-01
