,Year,Local Authority Districts,Private Enterprise,Housing Associations,Local Authority
0,2008,Barking and Dagenham,60,70,0
1,2008,Barnet,290,170,0
2,2008,Bexley,100,150,0
3,2008,Brent,330,440,0
4,2008,Bromley,250,90,0
5,2008,Camden,80,0,0
6,2008,City of London,280,0,0
7,2008,Croydon,420,280,0
8,2008,Ealing,380,150,0
9,2008,Enfield,500,210,0
10,2008,Greenwich,750,510,0
11,2008,Hackney,550,490,0
12,2008,Hammersmith and Fulham,180,0,0
13,2008,Haringey,140,150,0
14,2008,Harrow,240,130,0
15,2008,Havering,250,70,0
16,2008,Hillingdon,220,120,0
17,2008,Hounslow,390,630,0
18,2008,Islington,410,350,0
19,2008,Kensington and Chelsea,70,50,0
20,2008,Kingston upon Thames,100,0,0
21,2008,Lambeth,560,1060,0
22,2008,Lewisham,460,190,0
23,2008,Merton,30,170,0
24,2008,Newham,750,120,0
25,2008,Redbridge,360,40,0
26,2008,Richmond upon Thames,230,60,0
27,2008,Southwark,600,300,0
28,2008,Sutton,180,50,0
29,2008,Tower Hamlets,920,510,0
30,2008,Waltham Forest,240,60,0
31,2008,Wandsworth,380,20,0
32,2008,Westminster,80,40,0
33,2009,Barking and Dagenham,90,60,0
34,2009,Barnet,960,690,0
35,2009,Bexley,40,50,0
36,2009,Brent,250,270,0
37,2009,Bromley,300,160,0
38,2009,Camden,150,0,0
39,2009,City of London,0,0,0
40,2009,Croydon,260,220,0
41,2009,Ealing,240,70,0
42,2009,Enfield,90,820,0
43,2009,Greenwich,840,300,0
44,2009,Hackney,510,140,0
45,2009,Hammersmith and Fulham,10,10,0
46,2009,Haringey,220,40,0
47,2009,Harrow,100,100,0
48,2009,Havering,130,240,0
49,2009,Hillingdon,230,280,0
50,2009,Hounslow,260,300,0
51,2009,Islington,340,90,10
52,2009,Kensington and Chelsea,70,20,0
53,2009,Kingston upon Thames,40,20,0
54,2009,Lambeth,230,90,0
55,2009,Lewisham,220,240,0
56,2009,Merton,210,80,0
57,2009,Newham,380,170,0
58,2009,Redbridge,230,80,0
59,2009,Richmond upon Thames,90,0,0
60,2009,Southwark,710,130,0
61,2009,Sutton,30,70,0
62,2009,Tower Hamlets,1320,480,0
63,2009,Waltham Forest,90,20,0
64,2009,Wandsworth,180,10,0
65,2009,Westminster,60,70,0
