,Year,Day,Month,Rates
0,2007,9,Nov,5.0
1,2007,11,Jan,5.25
2,2008,10,May,5.5
3,2008,5,July,5.75
4,2008,6,Dec,5.5
5,2008,7,Feb,5.25
6,2009,10,April,5.0
7,2009,8,Oct,4.5
8,2009,6,Nov,3.0
9,2009,4,Dec,2.0
10,2009,8,Jan,1.5
11,2016,5,Feb,1.0
12,2016,5,Mar,0.5
13,2016,4,Aug,0.25
14,2017,2,Nov,0.5
15,2018,2,Aug ,0.75
16,2020,11,Mar,0.25
17,2021,19,Mar,0.1
18,2021,16,Dec,0.25
19,2022,3,Feb,0.5
20,2023,17,Mar,0.75
21,2023,5,May,1.0
22,2023,16,Jun,1.25
23,2023,4,Aug,1.75
24,2023,22,Sep,2.25
25,2023,3,Nov,3.0
26,2023,15,Dec,3.5
27,2023,2,Feb,4.0
