,Year,Local Authority Districts,Private Enterprise,Housing Associations,Local Authority
0,2020,Barking and Dagenham,290,130,150
1,2020,Barnet,790,310,0
2,2020,Bexley,250,320,0
3,2020,Brent,290,40,0
4,2020,Bromley,120,90,0
5,2020,Camden,80,0,0
6,2020,City of London,0,0,0
7,2020,Croydon,750,260,0
8,2020,Ealing,350,410,0
9,2020,Enfield,120,50,0
10,2020,Greenwich,460,30,0
11,2020,Hackney,210,210,0
12,2020,Hammersmith and Fulham,170,10,0
13,2020,Haringey,860,20,10
14,2020,Harrow,80,80,0
15,2020,Havering,240,90,200
16,2020,Hillingdon,430,0,0
17,2020,Hounslow,50,10,0
18,2020,Islington,240,70,80
19,2020,Kensington and Chelsea,30,230,100
20,2020,Kingston upon Thames,230,0,0
21,2020,Lambeth,140,0,0
22,2020,Lewisham,200,50,0
23,2020,Merton,100,10,0
24,2020,Newham,1030,290,0
25,2020,Redbridge,480,0,0
26,2020,Richmond upon Thames,30,0,0
27,2020,Southwark,790,120,0
28,2020,Sutton,80,20,10
29,2020,Tower Hamlets,80,10,0
30,2020,Waltham Forest,100,40,140
31,2020,Wandsworth,350,170,20
32,2020,Westminster,10,170,180
33,2021,Barking and Dagenham,390,310,120
34,2021,Barnet,520,220,0
35,2021,Bexley,180,320,0
36,2021,Brent,60,20,0
37,2021,Bromley,230,60,0
38,2021,Camden,760,60,10
39,2021,City of London,0,0,0
40,2021,Croydon,1590,130,0
41,2021,Ealing,690,90,0
42,2021,Enfield,380,50,0
43,2021,Greenwich,290,180,10
44,2021,Hackney,40,0,0
45,2021,Hammersmith and Fulham,620,130,0
46,2021,Haringey,820,40,10
47,2021,Harrow,210,130,0
48,2021,Havering,200,100,140
49,2021,Hillingdon,430,40,0
50,2021,Hounslow,910,90,200
51,2021,Islington,180,60,50
52,2021,Kensington and Chelsea,30,50,0
53,2021,Kingston upon Thames,50,0,0
54,2021,Lambeth,50,60,0
55,2021,Lewisham,300,150,0
56,2021,Merton,210,0,0
57,2021,Newham,640,340,40
58,2021,Redbridge,270,20,10
59,2021,Richmond upon Thames,90,10,0
60,2021,Southwark,610,70,0
61,2021,Sutton,70,0,0
62,2021,Tower Hamlets,400,80,40
63,2021,Waltham Forest,750,0,40
64,2021,Wandsworth,1470,20,0
65,2021,Westminster,40,40,190
66,2022,Barking and Dagenham,320,650,70
67,2022,Barnet,1000,330,0
68,2022,Bexley,180,350,0
69,2022,Brent,110,0,0
70,2022,Bromley,140,0,0
71,2022,Camden,80,0,0
72,2022,City of London,0,0,0
73,2022,Croydon,690,80,0
74,2022,Ealing,300,0,20
75,2022,Enfield,290,50,70
76,2022,Greenwich,1840,330,100
77,2022,Hackney,410,0,0
78,2022,Hammersmith and Fulham,1330,10,0
79,2022,Haringey,690,40,160
80,2022,Harrow,500,440,0
81,2022,Havering,140,0,0
82,2022,Hillingdon,370,250,0
83,2022,Hounslow,520,100,0
84,2022,Islington,20,0,10
85,2022,Kensington and Chelsea,160,0,80
86,2022,Kingston upon Thames,90,80,0
87,2022,Lambeth,770,80,0
88,2022,Lewisham,80,10,0
89,2022,Merton,150,0,0
90,2022,Newham,1070,430,20
91,2022,Redbridge,110,0,70
92,2022,Richmond upon Thames,40,0,0
93,2022,Southwark,1110,120,0
94,2022,Sutton,20,0,0
95,2022,Tower Hamlets,1660,150,0
96,2022,Waltham Forest,100,0,70
97,2022,Wandsworth,1070,570,0
98,2022,Westminster,280,60,110
