,Year,Local Authority Districts,Private Enterprise,Housing Associations,Local Authority
0,2006,Barking and Dagenham,240,290,0
1,2006,Barnet,570,380,0
2,2006,Bexley,210,200,0
3,2006,Brent,250,600,0
4,2006,Bromley,300,100,0
5,2006,Camden,250,440,0
6,2006,City of London,0,0,0
7,2006,Croydon,770,260,0
8,2006,Ealing,180,310,0
9,2006,Enfield,550,250,0
10,2006,Greenwich,570,80,0
11,2006,Hackney,610,160,0
12,2006,Hammersmith and Fulham,100,30,0
13,2006,Haringey,150,70,0
14,2006,Harrow,310,120,0
15,2006,Havering,340,150,0
16,2006,Hillingdon,430,140,30
17,2006,Hounslow,550,1100,0
18,2006,Islington,840,340,0
19,2006,Kensington and Chelsea,90,0,0
20,2006,Kingston upon Thames,50,10,0
21,2006,Lambeth,610,280,0
22,2006,Lewisham,50,250,0
23,2006,Merton,260,560,0
24,2006,Newham,460,250,0
25,2006,Redbridge,380,90,0
26,2006,Richmond upon Thames,170,0,0
27,2006,Southwark,590,300,0
28,2006,Sutton,350,80,0
29,2006,Tower Hamlets,620,210,0
30,2006,Waltham Forest,570,130,0
31,2006,Wandsworth,630,100,0
32,2006,Westminster,260,90,0
33,2007,Barking and Dagenham,170,40,0
34,2007,Barnet,400,320,0
35,2007,Bexley,170,100,0
36,2007,Brent,150,300,0
37,2007,Bromley,500,60,0
38,2007,Camden,310,100,0
39,2007,City of London,0,0,0
40,2007,Croydon,930,430,0
41,2007,Ealing,510,210,0
42,2007,Enfield,170,90,0
43,2007,Greenwich,400,60,0
44,2007,Hackney,610,390,0
45,2007,Hammersmith and Fulham,440,0,0
46,2007,Haringey,140,60,0
47,2007,Harrow,350,100,0
48,2007,Havering,270,350,0
49,2007,Hillingdon,890,290,20
50,2007,Hounslow,730,610,0
51,2007,Islington,470,130,0
52,2007,Kensington and Chelsea,0,0,0
53,2007,Kingston upon Thames,210,0,0
54,2007,Lambeth,690,220,0
55,2007,Lewisham,520,230,0
56,2007,Merton,820,190,0
57,2007,Newham,590,220,0
58,2007,Redbridge,910,190,0
59,2007,Richmond upon Thames,280,110,0
60,2007,Southwark,800,30,0
61,2007,Sutton,330,160,0
62,2007,Tower Hamlets,1590,240,0
63,2007,Waltham Forest,120,70,0
64,2007,Wandsworth,1010,0,0
65,2007,Westminster,620,210,0
